timestamp,workload_size_gb,ceph_osd_recovery_bytes,ceph_osd_recovery_ops,ceph_pg_backfilling,ceph_pg_recovering,ceph_pg_forced_recovery,ceph_osd_flag_nobackfill,ceph_pg_recovery_wait,ceph_pg_recovery_unfound,ceph_mds_cache_recovery_started,ceph_mds_cache_recovery_completed,ceph_num_objects_degraded,ceph_pg_degraded,recovery_time_sec,replication_rate_mbps,net_tx_mbps,net_rx_mbps,disk_write_MBps,disk_reads_completed,cpu_user_delta,cpu_system_delta,cpu_iowait_delta
56:36.5,7410.26796,6.77798E+12,2400692,2,0,0,0,0,0,0,0,1995,2,1008.857224,13.0727432,51.80322726,64.28732584,5.705701637,14.85934798,0.370340673,0.095442735,0.00514362
56:53.9,7410.356808,6.77801E+12,2400710,2,0,0,0,0,0,0,0,1977,2,1026.29613,15.30286223,47.60770337,65.52823623,27.20563569,28.32746504,0.509779685,0.14794506,0.01204204
57:11.4,7410.425999,6.77804E+12,2400727,2,0,0,0,0,0,0,0,1960,2,1043.793748,10.92603302,64.86471153,57.15782525,5.10940082,14.51626158,0.384623781,0.105728677,0.005715064
57:28.9,7410.501102,6.77807E+12,2400745,2,0,0,0,0,0,0,0,1943,2,1061.244029,15.44205414,41.24704422,54.92565077,5.181965712,13.18030351,0.361598762,0.101431031,0.007449737
57:46.4,7410.578213,6.77813E+12,2400781,2,0,0,0,0,0,0,0,1906,2,1078.809928,24.9836732,50.82940896,60.65623126,5.494543807,12.75198041,0.382559412,0.097916992,0.003984994
58:03.9,7410.717213,6.77817E+12,2400799,2,0,0,0,0,0,0,0,1888,2,1096.233984,21.18469133,62.24235964,58.46208529,5.550762513,12.28187054,0.538336195,0.12626222,0.005165273
58:21.4,7410.519909,6.77821E+12,2400816,2,0,0,0,0,0,0,0,1871,2,1113.796459,15.88027291,48.71231737,60.65399324,5.667267854,11.84343323,0.370107288,0.101352457,0.007402146
58:38.9,7410.635586,6.77825E+12,2400834,2,0,0,0,0,0,0,0,1854,2,1131.240467,17.90899568,40.77501226,48.31670428,4.446817067,12.03851775,0.37720689,0.104907083,0.003439577
58:56.3,7410.695965,6.77827E+12,2400852,2,0,0,0,0,0,0,0,1835,2,1148.722164,13.46193153,40.73809814,48.25867695,26.00498842,13.09941478,0.390122309,0.124701852,0.010296483
59:13.8,7410.725437,6.7783E+12,2400871,2,0,0,0,0,0,0,0,1816,2,1166.174278,13.47033007,36.77275452,56.40322496,5.56746664,10.88693324,0.77297226,0.225760616,0.007448954
59:31.2,7410.771862,6.77834E+12,2400888,2,0,0,0,0,0,0,0,1799,2,1183.582045,18.4132869,46.62546322,53.95938905,5.076308035,12.40825432,0.369375348,0.101678751,0.005170106
59:48.7,7410.922291,6.77842E+12,2400923,2,0,0,0,0,0,0,0,1764,2,1201.074391,32.88027941,48.2765461,55.87661072,4.761122558,11.43357215,0.365874309,0.105760542,0.00400175
00:06.1,7411.00663,6.77846E+12,2400941,2,0,0,0,0,0,0,0,1746,2,1218.51648,18.08398616,38.54736712,49.3094271,4.652897368,11.2371861,0.37323511,0.10147867,0.005733258
00:23.7,7411.07954,6.77849E+12,2400960,2,0,0,0,0,0,0,0,1728,2,1236.066019,16.38629072,103.6078967,191.3932317,15.82996532,9.458937924,0.531637897,0.144733147,0.006267971
00:41.1,7411.200462,6.77851E+12,2400977,2,0,0,0,0,0,0,0,1710,2,1253.510913,9.641856236,48.12818605,51.10535564,8.305841884,11.57931943,0.355978087,0.095730017,0.009171738
00:58.6,7410.89024,6.77854E+12,2400995,2,0,0,0,0,0,0,0,1693,2,1270.957034,12.7305828,41.08615503,65.9532805,5.998378522,14.78838763,0.382319944,0.102028411,0.00515874
01:16.1,7410.94627,6.77856E+12,2401012,2,0,0,0,0,0,0,0,1675,2,1288.431719,8.684516144,43.2703944,64.127908,48.91327887,11.33067635,0.524759101,0.15336471,0.016595435
01:33.5,7411.164318,6.77861E+12,2401049,2,0,0,0,0,0,0,0,1638,2,1305.891276,23.61265638,44.51887113,65.20425369,5.810023112,3746.60136,0.475957093,0.153497594,0.010882292
01:51.0,7411.279289,6.77866E+12,2401065,2,0,0,0,0,0,0,0,1622,2,1323.337753,21.16568199,41.40088523,53.20936714,4.493598389,12.95390468,0.360531241,0.096867694,0.005158635
02:08.6,7411.335526,6.77871E+12,2401084,2,0,0,0,0,0,0,0,1604,2,1341.018779,22.88079346,38.87733619,63.92432702,5.500798745,11.31156077,0.381765176,0.106328671,0.003959046
02:26.1,7411.437294,6.77875E+12,2401101,2,0,0,0,0,0,0,0,1586,2,1358.456462,20.47293462,49.54275313,65.66425551,5.846488823,13.76329642,0.576338038,0.137059493,0.006881648
02:43.6,7411.564137,6.7788E+12,2401120,2,0,0,0,0,0,0,0,1567,2,1375.952466,20.36543293,38.07972609,58.98684934,5.094355224,12.00274074,0.336076741,0.084590744,0.005144032
03:01.0,7411.639957,6.77884E+12,2401138,2,0,0,0,0,0,0,0,1549,2,1393.406284,21.15939928,90.07738066,93.86470788,5.617055392,11.11504658,0.363817246,0.107139882,0.005729405
03:18.5,7411.834873,6.7789E+12,2401173,2,0,0,0,0,0,0,0,1514,2,1410.890993,25.38066467,73.70257337,73.89568886,6.215140434,12.46803707,0.363746403,0.100087454,0.00686314
03:36.0,7411.962963,6.77894E+12,2401190,2,0,0,0,0,0,0,0,1497,2,1428.340476,17.43240232,113.2410811,136.8288539,28.82965071,14.67092177,0.535259412,0.150720798,0.013753989
03:53.4,7412.066994,6.77897E+12,2401209,2,0,0,0,0,0,0,0,1479,2,1445.772456,17.39363492,53.72237049,75.57926891,27.14277688,14.5709208,0.372304236,0.131941409,0.010899508
04:10.8,7412.19109,6.77899E+12,2401227,2,0,0,0,0,0,0,0,1460,2,1463.159302,7.733230972,36.644507,57.6447358,5.017599763,12.19312577,0.355441119,0.102951392,0.005176327
04:28.2,7412.293106,6.77902E+12,2401244,2,0,0,0,0,0,0,0,1444,2,1480.626293,11.56801741,49.36049306,52.3079397,4.61204759,10.30515216,0.483769643,0.120799284,0.005725085
04:45.7,7412.375782,6.77905E+12,2401262,2,0,0,0,0,0,0,0,1425,2,1498.064462,17.31951147,36.39579912,75.6373461,6.46099764,9.863420867,0.338911729,0.098634209,0.005734547
05:03.1,7412.624893,6.77911E+12,2401298,2,0,0,0,0,0,0,0,1389,2,1515.468946,26.01462887,44.04610168,67.12771123,5.868189629,12.29568196,0.376339798,0.091930332,0.004596517
05:20.5,7412.752739,6.77913E+12,2401316,2,0,0,0,0,0,0,0,1371,2,1532.893852,9.737117205,62.43433853,80.84374952,28.31211471,12.68299525,0.399428267,0.110187108,0.012625606
05:38.0,7412.990276,6.77915E+12,2401333,2,0,0,0,0,0,0,0,1354,2,1550.401312,9.870340072,135.1001345,148.9752455,10.97300094,31.70077213,0.507212354,0.13479968,0.005140666
05:55.5,7413.160278,6.77918E+12,2401351,2,0,0,0,0,0,0,0,1336,2,1567.83246,11.59302646,46.9344096,54.51349091,25.85837783,12.3916107,0.37977992,0.103837108,0.010326342
06:12.9,7413.230278,6.77922E+12,2401369,2,0,0,0,0,0,0,0,1318,2,1585.314254,19.19477646,64.97202564,78.44231364,6.799875541,14.75821074,0.363807055,0.098388072,0.006864284
06:30.4,7413.411514,6.77925E+12,2401387,2,0,0,0,0,0,0,0,1300,2,1602.800454,11.69938489,59.45342361,58.24663426,5.028630613,11.89509442,0.355709074,0.102366438,0.005718795
06:47.9,7413.588367,6.77932E+12,2401422,2,0,0,0,0,0,0,0,1265,2,1620.268768,32.77698306,49.45997971,67.8315684,5.650968412,11.10582281,0.49460984,0.118500274,0.002862325
07:05.3,7413.723305,6.77934E+12,2401440,2,0,0,0,0,0,0,0,1247,2,1637.692457,8.852844423,42.09182613,64.37956922,5.614101547,12.8560605,0.370759602,0.094124729,0.006887175
07:22.8,7413.781025,6.77937E+12,2401458,2,0,0,0,0,0,0,0,1229,2,1655.153353,14.20991683,41.66048615,52.32049031,4.313768642,12.25595754,0.33274352,0.081324578,0.004581666
07:40.3,7413.936115,6.7794E+12,2401476,2,0,0,0,0,0,0,0,1211,2,1672.630801,13.37567498,56.03933389,73.52344988,6.530849248,14.41858102,0.632243334,0.189959083,0.006865991
07:57.7,7413.868015,6.77943E+12,2401495,2,0,0,0,0,0,0,0,1193,2,1690.075864,14.74142639,47.4460521,52.21534826,4.691513582,39.89667449,0.500428115,0.159357407,0.005732281
08:15.2,7414.020439,6.77947E+12,2401511,2,0,0,0,0,0,0,0,1176,2,1707.537157,19.2173457,34.27485422,76.08315421,28.21609219,11.51117503,0.391150873,0.119120617,0.01088121
08:32.6,7414.237114,6.77952E+12,2401547,2,0,0,0,0,0,0,0,1140,2,1724.994255,23.08942025,51.83179564,61.86367196,5.608615834,10.9983916,0.36203039,0.087643433,0.005155496
08:50.3,7414.398247,6.77955E+12,2401564,2,0,0,0,0,0,0,0,1123,2,1742.679102,13.28361393,47.79579897,60.281419,5.293859413,14.24948715,0.52587393,0.135709401,0.00678547
09:07.8,7414.520882,6.77958E+12,2401584,2,0,0,0,0,0,0,0,1103,2,1760.17916,15.35855618,42.53602405,60.4658412,5.392950876,10.17139486,0.400570101,0.099999669,0.00514284
09:25.2,7414.593727,6.77961E+12,2401600,2,0,0,0,0,0,0,0,1087,2,1777.576583,12.27496555,37.29349019,55.92307228,5.188055097,8.507007044,0.365571384,0.109211577,0.004598382
09:42.6,7414.739635,6.77965E+12,2401619,2,0,0,0,0,0,0,0,1068,2,1794.935118,19.30324834,53.87211674,64.79244475,27.67376259,8.180413843,0.349683887,0.115217096,0.010945624
10:00.0,7414.834568,6.77968E+12,2401636,2,0,0,0,0,0,0,0,1051,2,1812.393285,13.45554319,37.96889238,50.88713426,4.506867223,11.57051597,0.762393898,0.22854633,0.006300776
10:17.5,7414.674358,6.77974E+12,2401673,2,0,0,0,0,0,0,0,1015,2,1829.868461,27.37842068,47.86481944,86.80830499,7.226098538,11.10146187,0.39770701,0.111014619,0.004577922
10:34.9,7414.642014,6.77977E+12,2401689,2,0,0,0,0,0,0,0,998,2,1847.308759,11.58075487,53.67047329,74.26630348,27.93872935,9.518185985,0.383020978,0.105502784,0.011467694
10:52.3,7414.700718,6.77979E+12,2401708,2,0,0,0,0,0,0,0,980,2,1864.661333,9.702581761,35.22557195,43.96492186,3.848492448,13.60028777,0.340007194,0.091052774,0.0034577
11:09.8,7414.745495,6.77983E+12,2401725,2,0,0,0,0,0,0,0,962,2,1882.163081,17.74924927,36.52431334,45.66808024,4.211186505,11.08460709,0.507377892,0.122273501,0.005713715
11:27.2,7414.802971,6.77985E+12,2401743,2,0,0,0,0,0,0,0,944,2,1899.616477,10.76203714,37.08599014,51.41472708,4.723180914,12.71958764,0.349502183,0.10026702,0.004583635
11:44.7,7414.884151,6.77989E+12,2401762,2,0,0,0,0,0,0,0,926,2,1917.064488,17.69934785,48.94406268,52.12996209,4.829861947,11.80650333,0.355914494,0.106602409,0.005731312
12:02.0,7415.049824,6.77995E+12,2401797,2,0,0,0,0,0,0,0,890,2,1934.403413,29.09957336,40.83725467,49.1511731,4.591029468,11.76543529,0.370265169,0.099198768,0.006920844
12:19.5,7415.118008,6.77998E+12,2401815,2,0,0,0,0,0,0,0,872,2,1951.868479,11.53909868,35.48055667,44.25274225,25.08249226,10.64983093,0.515886971,0.137989745,0.009161145
12:36.9,7415.189194,6.78E+12,2401832,2,0,0,0,0,0,0,0,855,2,1969.26059,10.85175135,37.46884642,46.54612381,4.50730803,10.69450396,0.342109132,0.106370066,0.005749733
12:54.4,7415.262054,6.78003E+12,2401851,2,0,0,0,0,0,0,0,837,2,1986.768022,13.32818154,41.53604526,47.04936555,3.984133888,11.42371994,0.350708202,0.097672805,0.003998302
13:11.7,7415.31004,6.78006E+12,2401868,2,0,0,0,0,0,0,0,819,2,2004.04443,15.5416751,33.64136804,43.37581006,25.2618249,11.46071568,0.507049845,0.141811886,0.010418832
13:29.1,7415.357868,6.7801E+12,2401886,2,0,0,0,0,0,0,0,801,2,2021.476913,15.41058494,56.61512798,53.97090982,4.876851163,9.637181347,0.419332117,0.098092739,0.004015492
13:46.7,7415.576813,6.78016E+12,2401921,2,0,0,0,0,0,0,0,766,2,2039.07648,28.77100829,49.61486246,64.91605481,5.572202962,9.545689391,0.360804331,0.097161481,0.005681958
14:04.2,7415.612942,6.78021E+12,2401941,2,0,0,0,0,0,0,0,748,2,2056.554262,21.11931182,36.02967562,49.15422106,25.83190333,14.64716747,0.40680219,0.113858841,0.012015255
14:21.7,7415.657848,6.78022E+12,2401957,2,0,0,0,0,0,0,0,730,2,2074.051519,7.423387106,32.57173121,48.51160019,3.844910698,10.51593401,0.427495578,0.106873895,0.003429109
14:39.1,7415.724224,6.78026E+12,2401975,2,0,0,0,0,0,0,0,712,2,2091.499623,17.10812544,44.59488871,56.69715174,5.081923049,13.86970183,0.378264595,0.100297431,0.005158154
14:56.5,7415.825951,6.78029E+12,2401993,2,0,0,0,0,0,0,0,694,2,2108.864467,12.79659524,85.18694208,74.92686303,6.227785936,10.82647215,0.355315602,0.097323074,0.006334638
15:13.9,7415.944248,6.78031E+12,2402010,2,0,0,0,0,0,0,0,677,2,2126.28473,7.707302238,61.47563765,75.13713059,27.90078786,13.08820653,0.378869136,0.114808829,0.009184706
15:31.5,7416.137291,6.78036E+12,2402046,2,0,0,0,0,0,0,0,642,2,2143.87657,25.96331435,49.2710202,57.12139446,5.177182823,13.30162166,0.50705327,0.128468654,0.006252899
15:48.9,7416.223209,6.7804E+12,2402065,2,0,0,0,0,0,0,0,623,2,2161.291447,17.6512994,35.79414727,67.14398821,5.608418703,12.86256572,0.37152143,0.10910212,0.006316439
16:06.5,7416.360229,6.78042E+12,2402082,2,0,0,0,0,0,0,0,605,2,2178.835907,7.866822005,54.98455011,78.79886186,6.99728985,15.95945387,0.37960701,0.111716177,0.007409746
16:24.1,7416.484482,6.78046E+12,2402099,2,0,0,0,0,0,0,0,588,2,2196.492263,19.71281866,45.66694826,76.69008849,6.23679884,12.00700756,0.347750125,0.094017135,0.004530946
16:41.6,7416.602818,6.7805E+12,2402119,2,0,0,0,0,0,0,0,569,2,2213.996212,18.8492711,50.8809764,59.37722968,5.605431523,11.540253,0.503314995,0.119972927,0.006284296
16:59.1,7416.766373,6.78054E+12,2402135,2,0,0,0,0,0,0,0,552,2,2231.454377,15.32792662,68.24497718,72.3920467,6.186888413,10.99771941,0.358571476,0.096802843,0.006873575
17:16.5,7417.013977,6.78061E+12,2402171,2,0,0,0,0,0,0,0,516,2,2248.907919,32.81801574,80.7547676,89.33233655,7.487567298,10.42768282,0.370125445,0.092244886,0.008021294
17:34.0,7417.18837,6.78063E+12,2402181,1,0,0,0,0,0,0,0,506,1,2266.402138,9.59973669,45.45561617,64.93604956,5.888496562,14.34759677,0.377267485,0.104605984,0.006287791
17:51.7,7417.315056,6.78065E+12,2402188,1,0,0,0,0,0,0,0,498,1,2284.064463,9.499199228,70.00763988,72.53187471,27.9084285,12.68236203,0.508993012,0.156264818,0.009625007
18:09.2,7417.467899,6.78067E+12,2402195,1,0,0,0,0,0,0,0,491,1,2301.532477,9.604723697,39.9857124,75.14242981,28.25499188,11.67848846,0.407029672,0.120219734,0.011449498
18:26.6,7417.555759,6.78069E+12,2402203,1,0,0,0,0,0,0,0,483,1,2319.009215,9.152341358,59.94621239,80.38240958,6.760996031,11.32934533,0.342741306,0.093839022,0.008010648
18:44.1,7417.670635,6.7807E+12,2402210,1,0,0,0,0,0,0,0,476,1,2336.476462,3.864810522,73.24458399,65.39436787,6.004765304,13.7400015,0.376705041,0.098470011,0.006297501
19:01.6,7417.895718,6.78074E+12,2402225,1,0,0,0,0,0,0,0,461,1,2354.003769,17.2390709,36.94540639,65.67896186,5.825062358,13.9211346,0.50777909,0.119813044,0.005134845
19:19.1,7417.997318,6.78075E+12,2402233,1,0,0,0,0,0,0,0,454,1,2371.456456,7.700666379,69.05090591,83.39662678,7.440204623,13.75146417,0.377019309,0.105427892,0.008021687
19:36.5,7418.116325,6.78077E+12,2402240,1,0,0,0,0,0,0,0,446,1,2388.844488,5.789524197,47.83304149,58.41429875,5.365804552,12.65238067,0.370369689,0.100643937,0.00632619
19:53.9,7418.169823,6.78078E+12,2402247,1,0,0,0,0,0,0,0,439,1,2406.280467,7.698591516,36.26664198,42.92656007,3.724339195,12.61758803,0.341248404,0.08774959,0.004588214
20:11.4,7418.205608,6.7808E+12,2402255,1,0,0,0,0,0,0,0,431,1,2423.796954,7.672174449,51.74761538,64.49618488,28.02928517,11.70325991,0.779265842,0.264893297,0.009705142
20:29.0,7418.255577,6.7808E+12,2402262,1,0,0,0,0,0,0,0,424,1,2441.392457,1.944178123,151.6952535,169.1014192,15.47869753,13.18518715,0.408058809,0.123895293,0.007956578
20:46.5,7418.485634,6.78083E+12,2402277,1,0,0,0,0,0,0,0,409,1,2458.846556,11.78626522,55.22815701,53.90769882,20.36686921,9.625246196,0.399333131,0.093960737,0.00859397
21:03.9,7418.520985,6.78084E+12,2402285,1,0,0,0,0,0,0,0,402,1,2476.296461,5.824043627,44.97455682,52.69289294,5.052017565,11.91983567,0.380517831,0.111748459,0.006303759
21:21.4,7418.567455,6.78086E+12,2402292,1,0,0,0,0,0,0,0,394,1,2493.823703,7.68463036,34.71456331,42.0552824,3.97695645,10.6120518,0.483247735,0.12209565,0.004564323
21:38.9,7418.631008,6.78088E+12,2402300,1,0,0,0,0,0,0,0,386,1,2511.269372,7.697432755,38.90430662,47.41070898,6.802032964,12.72522137,0.407551009,0.120946924,0.007451706
